브이아이피,"1,373,316"
블랙 팬서,"5,399,070"
비긴 어게인,"3,427,524"
비밥바룰라,"46,819"
비행기 2: 소방구조대,"311,456"
빅 히어로,"2,801,949"
빅매치,"1,177,438"
빅쇼트,"446,664"
빌리와 용감한 녀석들 2,"306,837"
빌리와 용감한 녀석들 3D,"299,434"
뽀로로 극장판 공룡섬 대모험,"773,743"
뽀로로 극장판 슈퍼썰매 대모험,"929,985"
뽀로로 극장판 컴퓨터 왕국 대모험,"391,760"
사냥,"645,922"
사도,"6,246,849"
사라진 밤,"1,315,735"
사이코메트리,"534,176"
살인소설,"49,685"
살인의뢰,"855,980"
살인자의 기억법,"2,658,589"
상의원,"676,632"
새미의 어드벤쳐 2,"1,457,380"
샌 안드레아스,"1,716,306"
섀도우 헌터스: 뼈의 도시,"571,074"
서부전선,"609,063"
석조저택 살인사건,"353,043"
선 오브 갓,"329,253"
설국열차,"9,349,991"
설리: 허드슨강의 기적,"627,102"
성난 변호사,"1,128,288"
셜록: 유령신부,"1,278,894"
셜록홈즈 : 그림자 게임,"949,299"
셰이프 오브 워터: 사랑의 모양,"506,408"
소공녀,"58,566"
소녀괴담,"481,696"
소수의견,"383,332"
소원,"2,711,071"
손님,"828,025"
수상한 그녀,"8,656,397"
수어사이드 스쿼드,"1,898,121"
순수의 시대,"469,891"
숨바꼭질,"5,604,104"
숲속으로,"317,406"
슈퍼배드 2,"962,865"
슈퍼배드 3,"3,324,861"
스노우 화이트 앤 더 헌츠맨,"636,631"
스머프: 비밀의 숲,"427,764"
스물,"3,044,134"
스타워즈: 깨어난 포스,"2,803,234"
스타워즈: 라스트 제다이,"946,547"
스타트렉 다크니스,"1,605,271"
스타트렉 비욘드,"1,157,156"
"스탠바이, 웬디","46,563"
스텝 업: 올 인,"564,589"
스텝업4 : 레볼루션,"953,871"
스토커,"378,729"
스파이,"3,435,801"
스파이 브릿지,"264,872"
스파이더맨: 홈 커밍,"7,258,678"
스파키,"35,436"
스포트라이트,"297,944"
스폰지밥 3D,"325,016"
스플릿,"758,195"
슬로우 비디오,"1,169,562"
시간이탈자,"1,202,384"
시체가 돌아왔다,"986,923"
시카리오: 데이 오브 솔다도,"124,021"
신과함께-죄와 벌,"8,539,495"
신데렐라,"716,386"
신비한 동물사전,"4,662,534"
신세계,"4,682,492"
신의 한 수,"3,566,336"
신이 보낸 사람,"424,258"
싱 스트리트,"560,622"
썬더와 마법저택,"459,297"
쎄시봉,"1,714,803"
쓰리 빌보드,"97,480"
씽,"1,063,175"
아가씨,"4,287,839"
아기배달부 스토크,"322,354"
아메리칸 메이드,"401,541"
아메리칸 스나이퍼,"344,766"
아부의 왕,"497,880"
아빠는 딸,"646,924"
아수라,"2,594,028"
아이 캔 스피크,"3,279,296"
아이 필 프리티,"229,495"
아이스 에이지 4: 대륙 이동설,"1,648,070"
아이스 에이지: 지구 대충돌,"553,760"
아이언맨 3,"9,001,309"
아일라,"36,335"
악녀,"1,208,081"
악의 연대기,"2,192,525"
"안녕, 나의 소녀","111,541"
"안녕, 헤이즐","749,146"
암살,"12,705,700"
애나벨,"926,027"
애나벨 : 인형의 주인,"1,934,192"
애프터 어스,"537,920"
앤트맨,"2,841,699"
앨빈과 슈퍼밴드: 악동 어드벤처,"292,495"
앵그리버드 더 무비,"680,606"
어린왕자,"428,855"
어메이징 스파이더맨,"4,853,123"
어메이징 스파이더맨 2,"4,168,350"
어바웃 타임,"2,856,065"
어벤져스,"7,074,867"
어벤져스: 에이지 오브 울트론,"10,494,499"
어벤져스: 인피니티 워,"11,202,737"
어쌔신 크리드,"355,913"
언더 워터,"384,789"
언터처블: 1%의 우정,"1,720,052"
얼라이드,"518,886"
얼리맨,"122,359"
에베레스트,"332,180"
에이리언: 커버넌트,"1,307,226"
에픽 : 숲속의 전설,"978,788"
엑소더스: 신들과 왕들,"1,511,195"
엑스맨: 데이즈 오브 퓨처 패스트,"4,313,871"
엑스맨: 아포칼립스,"2,938,818"
엔더스 게임,"487,679"
엘리시움,"1,207,732"
엣지 오브 투모로우,"4,699,208"
여중생A,"86,843"
역린,"3,849,433"
연가시,"4,515,833"
연애의 온도,"1,865,195"
연평해전,"6,043,784"
열정같은소리하고있네,"654,102"
열한시,"870,785"
염력,"990,111"
오늘의 연애,"1,891,993"
오리엔트 특급 살인,"863,567"
오블리비언,"1,515,356"
오빠생각,"1,069,436"
오션스8,"1,252,385"
오즈 그레이트 앤드 파워풀,"350,563"
오즈의 마법사: 돌아온 도로시,"298,298"
오피스,"441,208"
온리 더 브레이브,"49,612"
올 더 머니,"70,295"
용의자,"1,954,496"
용의자,"2,176,752"
용의자X,"1,552,055"
우는 남자,"603,409"
우리는 형제입니다,"970,373"
우아한 거짓말,"1,618,988"
워크래프트: 전쟁의 서막,"1,163,274"
원더,"178,277"
원더 우먼,"2,165,401"
원더풀 라디오,"977,470"
원라인,"434,777"
월드 워 Z,"5,237,525"
월요일이 사라졌다,"903,195"
월터의 상상은 현실이 된다,"834,393"
웜 바디스,"1,169,839"
위대한 개츠비,"1,445,124"
위대한 소원,"308,398"
위대한 쇼맨,"814,587"
위자: 저주의 시작,"331,877"
위플래쉬,"1,589,032"
위험한 관계,"298,086"
위험한 상견례 2,"472,693"
유전,"174,223"
은교,"1,346,274"
은밀하게 위대하게,"6,959,083"
음치 클리닉,"338,168"
이미테이션 게임,"1,743,936"
이스케이프 플랜,"292,893"
이웃사람,"2,434,099"
